Active Status,Type,Item,Description,Preferred Vendor,Height,Width,Depth,MERV,MERV Value,Classification,Category_ID,
Not-active,Non-inventory Part,JPMG-336,"Jonell MicroGlass Coalescing Filter..36"" Long..0.3 Micron @ 99% Efficiency",MISC,,,,99%,17,f,16,
Active,Non-inventory Part,JPMG 336-R,"Jonell Pleated Microglass Reverse Flow Filter, 36"" Length","Precision Filter Products, LLC",36,,,,,f,13,
Active,Non-inventory Part,JRF 1122-C,"JRF 1122-C Jonell CarboPur R Series Filter, 22"" Length","Precision Filter Products, LLC",22,,,,,f,16,
Active,Non-inventory Part,K10,K10..Schroeder Filter Element,Hydraulic Controls Inc.,,,,,,m,16,
Active,Non-inventory Part,Kuul Media,Kuul Media,Portacool,,,,,,m,16,
Active,Non-inventory Part,Kuul Pad 60,Kuul Control PowerGT  w/DuraPro Edge 60x12x12,Portacool,60,12,12,,,m,16,
Active,Non-inventory Part,Kuul Pad 72,Kuul Control PowerGT w/DuraPro Edge 72x12x12,Portacool,72,12,12,,,m,16,
Active,Non-inventory Part,LA03372-50,"Airlay3 0.33 OZ x 0.25"" x 72.0 x 50.0 Yard","American Nonwoven, Inc. / VFT INC.",0.25,72,50,,,m,16,
Active,Non-inventory Part,LABOR,Sales LABOR,MISC,,,,,,s,16,
Active,Non-inventory Part,LABOR-FF,Sales FinalRemoval/ Installation/ Disposal,MISC,,,,,,s,16,
Active,Non-inventory Part,LABOR-INSP,Sales,MISC,,,,,,s,16,
Active,Non-inventory Part,LABOR-PF,Sales Pre  Removal/ Installation/ Disposal,MISC,,,,,,s,16,
Active,Non-inventory Part,LATCH ASSY LM6000,"LATCH ASSEMBLY for Composite Filters LM6000 S.S. 304, 3129502",MISC,,,,,,m,16,
Active,Non-inventory Part,LD10005072,"0.5"" x 55"" x 180' White Media","American Nonwoven, Inc. / VFT INC.",0.5,55,180,,,m,16,
Active,Non-inventory Part,LD10005074,"V-Deck 1oz 0.5"" x 74"" x 60 Yards","American Nonwoven, Inc. / VFT INC.",0.5,74,60,,,m,16,
Active,Non-inventory Part,LD12005040-50,"V-Deck 1.20 OZ x 0.50"" x 40 x 50 YARD","American Nonwoven, Inc. / VFT INC.",0.5,40,50,,,m,16,
Active,Non-inventory Part,LD12005042-50,"V-Deck 1.20 OZ x  0.50"" x 42 x 50 YARD","American Nonwoven, Inc. / VFT INC.",0.5,42,50,,,m,16,
Active,Non-inventory Part,LD12005055,"V-Deck 1.20 OZ x 0.50"" x 55"" WIDE","American Nonwoven, Inc. / VFT INC.",0.5,55,,,,m,16,
Active,Non-inventory Part,LD12005060,"V-Deck 1.20 OZ x 0.50"" x 60"" WIDE","American Nonwoven, Inc. / VFT INC.",0.5,60,,,,m,16,
Active,Non-inventory Part,LD12005064-50,"V-Deck 1.20 OZ x 0.50"" x 64 x 50 YARD","American Nonwoven, Inc. / VFT INC.",0.5,64,50,,,m,16,
Active,Non-inventory Part,LD12005070-50,"V-Deck 1.20 OZ x 0.50"" x 70 x 50 YARD","American Nonwoven, Inc. / VFT INC.",0.5,70,50,,,m,16,
Active,Non-inventory Part,LD12005074,"V-Deck 1.20 OZ x 0.50"" x 74"" WIDE","American Nonwoven, Inc. / VFT INC.",0.5,74,,,,m,16,
Active,Non-inventory Part,LD12005074-50,"V-Deck 1.20 OZ x 0.50"" x 74 x 50 YARD","American Nonwoven, Inc. / VFT INC.",0.5,74,50,,,m,16,
Active,Non-inventory Part,LH07521,"LowMelt H 0.75 oz x 21.0"" x 30.0 Yard","American Nonwoven, Inc. / VFT INC.",21,30,,,,m,16,
Active,Non-inventory Part,LH07524,"LowMelt H 0.75 oz x 24.0"" x 30.0 Yard","American Nonwoven, Inc. / VFT INC.",24,30,,,,m,16,
Active,Non-inventory Part,LH07525,"LowMelt H 0.75 oz x 25.0"" x 30.0 Yard","American Nonwoven, Inc. / VFT INC.",25,30,,,,m,16,
