Item,Description,Preferred Vendor #,height,width,depth,Category #,merv_rating
814-2ply,8x14 2-Ply Poly Panel,4,8,14,,14,16
820-2ply,8x20 2-Ply Poly Panel,4,8,20,,14,8
820-3ply,8x20 3-Ply Poly Panel,4,8,20,,14,4
934-2ply,9x34 Special 2-Ply Poly Panel,4,9,34,,14,11
961-3ply,9x61.25 3-Ply Poly Panel,4,9,61.25,,14,8
962-2ply,9x62 MZP 2-Ply Poly Panel,4,9,62,,14,3
963-2ply,9x63 2-Ply Poly Panel,4,9,63,,14,2
99-2ply,9x9x1 2-Ply Poly Panel,4,9,9,1,14,12
AC50S-12246,"12x24x6, 50% Rigid Box synthetic filter NH",11,12,24,6,3,10
AC50S-24246,"24x24x6, 50% Rigid Box synthetic filter NH",11,24,24,6,3,14
AC95S-242412,"24x24x12 Aero-Cell S, 95% Rigid Box Synthetic Filter, no header",11,24,24,12,3,14
