Item,Description,Preferred Vendor,Size_Matched_Text,Height,Width,Depth,MERV,MERV Value,Classification
M1330301SP,30x30x1 MERV 13 Pleated Filter,Glasfloss Industries,30x30x1,30.0,30.0,1.0,MERV 13,13.0,air_filter
M1330851SP,30x8.5x1 MERV 13 Pleated Filter,Glasfloss Industries,30x8.5x1,30.0,8.5,1.0,MERV 13,13.0,air_filter
M139122SP,9x12x2 Special MERV 13 Pleated Filter,Glasfloss Industries,9x12x2,9.0,12.0,2.0,MERV 13,13.0,air_filter
M6-POCKET6P,"22.75"" x 25.5"" x 28"" 85% Synthetic Media 6P Plastic Frame Pocket Filter","Wetzel Technologies Co., Ltd","22.75"" x 25.5"" x 28""",22.75,25.5,28.0,85%,13.0,air_filter
MAGAH1224B3H3,"12x24x12 MERV 14 Heavy-Duty Aluminized Steel, High Temperature Box Filter w/ Aluminized Faceguards",Glasfloss Industries,12x24x12,12.0,24.0,12.0,MERV 14,14.0,air_filter
MAGAH2412B3H3,"12x24x12 MERV 14 Heavy-Duty Aluminized Steel, 350 High Temperature Box Filter w/ Aluminized Faceguards Header",Glasfloss Industries,12x24x12,12.0,24.0,12.0,MERV 14,14.0,air_filter
MAGAH2424B3H3,"24x24x12 MERV 14 Heavy-Duty Aluminized Steel, 350 High Temperature Box Filter w/ Aluminized Faceguards",Glasfloss Industries,24x24x12,24.0,24.0,12.0,MERV 14,14.0,air_filter
MF0920742,MF0920742..Hengst Filter Element  Former Rexroth DFW 60P25BM 1.0,"Hengst Filtration USA, LLC",,,,,,,air_filter
MF0920760,MF0920760..Hengst Filter Element Former Rexroth DFBH / HC60P10BM,"Hengst Filtration USA, LLC",,,,,,,air_filter
MF8V4-1224,"12"" x 24"" x 12"" MERV 14 4V-Bank Filter,Glassfiber, Blue Frame",MGT Air Filters,"12"" x 24"" x 12""",12.0,24.0,12.0,MERV 14,14.0,air_filter
MF8V4-2024,"20"" x 24"" x 12"" MERV 14 4V-Bank Filter, Glassfiber, Blue Frame",MGT Air Filters,"20"" x 24"" x 12""",20.0,24.0,12.0,MERV 14,14.0,air_filter
MF8V4-2424,"24"" x 24"" x 12"" MERV 14 4V-Bank Filter, Glassfiber, Blue Frame",MGT Air Filters,"24"" x 24"" x 12""",24.0,24.0,12.0,MERV 14,14.0,air_filter
MF90 1/1,24x24x26 Viledon Bag 90%,"Freudenberg Filtration Technologies, L.P.",24x24x26,24.0,24.0,26.0,90%,15.0,air_filter
MF95 1/1,24x24x26 Viledon Bag 95%,"Freudenberg Filtration Technologies, L.P.",24x24x26,24.0,24.0,26.0,95%,16.0,air_filter
MINI-12246,"  EFS 12x24x6, MINI Pleat MERV 15",Parker-Hannifin Corporation,12x24x6,12.0,24.0,6.0,MERV 15,15.0,air_filter
